"","ID","Class","names_ap","count","AreaTotal","AreaClass","prop"
"98",7,195,"G",17,203402700,15300,0.00752202404392862
"99",8,1,"H",17231,203408100,15507900,7.6240326712653
"100",8,111,"H",2286,203408100,2057400,1.01146414523315
"101",8,121,"H",13111,203408100,11799900,5.80109641651439
"102",8,122,"H",4826,203408100,4343400,2.13531319549221
"103",8,123,"H",1283,203408100,1154700,0.567676508457628
"104",8,124,"H",486,203408100,437400,0.215035684419647
"105",8,131,"H",99,203408100,89100,0.0438035653447429
"106",8,141,"H",95316,203408100,85784400,42.1735417616113
"107",8,142,"H",9644,203408100,8679600,4.26708670893637
"108",8,143,"H",734,203408100,660600,0.324765827909508
"109",8,152,"H",2382,203408100,2143800,1.05394032980987
"110",8,176,"H",78578,203408100,70720200,34.7676419965577
"111",8,190,"H",27,203408100,24300,0.0119464269122026
"112",8,195,"H",6,203408100,5400,0.00265476153604502
"113",9,1,"I",18695,203413500,16825500,8.27157489547154
"114",9,111,"I",1890,203413500,1701000,0.836227684003274
"115",9,121,"I",13086,203413500,11777400,5.78988120257505
"116",9,122,"I",4692,203413500,4222800,2.07596840917638
"117",9,123,"I",1236,203413500,1112400,0.546866358427538
"118",9,124,"I",445,203413500,400500,0.196889586974316
"119",9,131,"I",117,203413500,105300,0.0517664756763932
"120",9,141,"I",94968,203413500,85471200,42.0184501028693
"121",9,142,"I",7864,203413500,7077600,3.47941508306971
"122",9,143,"I",618,203413500,556200,0.273433179213769
"123",9,152,"I",2331,203413500,2097900,1.03134747693737
"124",9,176,"I",80032,203413500,72028800,35.4100391566931
"125",9,190,"I",31,203413500,27900,0.0137159038116939
"126",9,195,"I",10,203413500,9000,0.00442448510054642
"127",10,1,"J",21338,203418900,19204200,9.44071568571062
"128",10,111,"J",1636,203418900,1472400,0.723826547090757
"129",10,121,"J",13465,203418900,12118500,5.95741103702753
"130",10,122,"J",4910,203418900,4419000,2.17236451480172
"131",10,123,"J",1308,203418900,1177200,0.578707288260825
"132",10,124,"J",504,203418900,453600,0.222988129421602
"133",10,131,"J",140,203418900,126000,0.0619411470615562
"134",10,141,"J",94720,203418900,85248000,41.90761035479
"135",10,142,"J",6670,203418900,6003000,2.95105322071843
"136",10,143,"J",419,203418900,377100,0.185381004419943
"137",10,152,"J",1718,203418900,1546200,0.76010636179824
"138",10,176,"J",79098,203418900,71188200,34.9958632162498
"139",10,190,"J",85,203418900,76500,0.0376071250016591
"140",10,195,"J",10,203418900,9000,0.00442436764725402
