"","ID","Class","names_ap","count","AreaTotal","AreaClass","prop"
"1",1,1,"A",6926,73232100,6233400,8.51184111885362
"2",1,111,"A",192,73232100,172800,0.235962098587914
"3",1,121,"A",2694,73232100,2424600,3.31084319581167
"4",1,122,"A",218,73232100,196200,0.267915299438361
"5",1,123,"A",16,73232100,14400,0.0196635082156595
"6",1,124,"A",1,73232100,900,0.00122896926347872
"7",1,131,"A",5,73232100,4500,0.0061448463173936
"8",1,141,"A",35036,73232100,31532400,43.0581671152405
"9",1,142,"A",5039,73232100,4535100,6.19277611866927
"10",1,143,"A",548,73232100,493200,0.673475156386339
"11",1,152,"A",539,73232100,485100,0.66241443301503
"12",1,176,"A",30151,73232100,27135900,37.0546522631469
"13",1,190,"A",1,73232100,900,0.00122896926347872
"14",1,195,"A",3,73232100,2700,0.00368690779043616
"15",2,1,"B",6113,73241100,5501700,7.5117659347006
"16",2,111,"B",767,73241100,690300,0.942503594293368
"17",2,121,"B",4377,73241100,3939300,5.37853746052421
"18",2,122,"B",1187,73241100,1068300,1.45860725740056
"19",2,123,"B",108,73241100,97200,0.132712370513277
"20",2,124,"B",25,73241100,22500,0.0307204561373327
"21",2,131,"B",21,73241100,18900,0.0258051831553595
"22",2,141,"B",32285,73241100,29056500,39.6723970557515
"23",2,142,"B",3024,73241100,2721600,3.71594637437177
"24",2,143,"B",202,73241100,181800,0.248221285589648
"25",2,152,"B",777,73241100,699300,0.954791776748301
"26",2,176,"B",32483,73241100,29234700,39.9157030683592
"27",2,190,"B",5,73241100,4500,0.00614409122746655
"28",2,195,"B",5,73241100,4500,0.00614409122746655
"29",3,1,"C",10821,73225800,9738900,13.2998205550503
"30",3,111,"C",193,73225800,173700,0.237211474644183
"31",3,121,"C",3231,73225800,2907900,3.97114131904329
"32",3,122,"C",282,73225800,253800,0.346599149480101
"33",3,123,"C",24,73225800,21600,0.0294977999557533
"34",3,124,"C",2,73225800,1800,0.00245814999631278
"35",3,131,"C",5,73225800,4500,0.00614537499078194
"36",3,141,"C",32399,73225800,29159100,39.8208008652688
"37",3,142,"C",4246,73225800,3821400,5.21865244217202
"38",3,143,"C",549,73225800,494100,0.674762173987857
"39",3,152,"C",503,73225800,452700,0.618224724072663
"40",3,176,"C",29102,73225800,26191800,35.7685405963472
"41",3,190,"C",2,73225800,1800,0.00245814999631278
"42",3,195,"C",3,73225800,2700,0.00368722499446916
"43",4,1,"D",8086,73218600,7277400,9.93927772451262
"44",4,111,"D",731,73218600,657900,0.898542173709959
"45",4,121,"D",5653,73218600,5087700,6.94864419696634
"46",4,122,"D",3049,73218600,2744100,3.74781817734838
"47",4,123,"D",918,73218600,826200,1.12840179954274
"48",4,124,"D",386,73218600,347400,0.47446960198638
"49",4,131,"D",70,73218600,63000,0.086043710204784
"50",4,141,"D",32631,73218600,29367900,40.1098901098901
"51",4,142,"D",1326,73218600,1193400,1.62991371045062
"52",4,143,"D",105,73218600,94500,0.129065565307176
"53",4,152,"D",595,73218600,535500,0.731371536740664
"54",4,176,"D",27730,73218600,24957000,34.0856011996952
"55",4,190,"D",68,73218600,61200,0.0835853184846473
"56",4,195,"D",6,73218600,5400,0.00737517516041006
"57",5,1,"E",7915,73227600,7123500,9.72788948429281
"58",5,111,"E",568,73227600,511200,0.698097438670665
"59",5,121,"E",3568,73227600,3211200,4.38523179784671
"60",5,122,"E",1005,73227600,904500,1.23519001032398
"61",5,123,"E",48,73227600,43200,0.0589941497468168
"62",5,124,"E",6,73227600,5400,0.0073742687183521
"63",5,131,"E",6,73227600,5400,0.0073742687183521
"64",5,141,"E",36375,73227600,32737500,44.7065041050096
"65",5,142,"E",5853,73227600,5267700,7.19359913475247
"66",5,143,"E",232,73227600,208800,0.285138390442948
"67",5,152,"E",604,73227600,543600,0.742343050980778
"68",5,176,"E",25158,73227600,22642200,30.9203087360503
"69",5,190,"E",19,73227600,17100,0.0233518509414483
"70",5,195,"E",7,73227600,6300,0.00860331350474411
"71",6,1,"F",5060,73228500,4554000,6.218890186198
"72",6,111,"F",309,73228500,278100,0.379770171449641
"73",6,121,"F",4201,73228500,3780900,5.16315369016162
"74",6,122,"F",977,73228500,879300,1.20076199840226
"75",6,123,"F",49,73228500,44100,0.0602224543722731
"76",6,124,"F",9,73228500,8100,0.0110612671296012
"77",6,131,"F",1,73228500,900,0.0012290296810668
"78",6,141,"F",38506,73228500,34655400,47.3250168991581
"79",6,142,"F",6034,73228500,5430600,7.41596509555706
"80",6,143,"F",295,73228500,265500,0.362563755914705
"81",6,152,"F",523,73228500,470700,0.642782523197935
"82",6,176,"F",25379,73228500,22841100,31.1915442757943
"83",6,190,"F",15,73228500,13500,0.018435445216002
"84",6,195,"F",7,73228500,6300,0.00860320776746758
"85",7,1,"G",7892,73225800,7102800,9.69985988545021
"86",7,111,"G",723,73225800,650700,0.888621223667068
"87",7,121,"G",5067,73225800,4560300,6.22772301565842
"88",7,122,"G",1947,73225800,1752300,2.39300902141049
"89",7,123,"G",108,73225800,97200,0.13274009980089
"90",7,124,"G",16,73225800,14400,0.0196651999705022
"91",7,131,"G",26,73225800,23400,0.0319559499520661
"92",7,141,"G",33206,73225800,29885400,40.812664388781
"93",7,142,"G",2675,73225800,2407500,3.28777562006834
"94",7,143,"G",184,73225800,165600,0.226149799660775
"95",7,152,"G",324,73225800,291600,0.39822029940267
"96",7,176,"G",29142,73225800,26227800,35.8177035962734
"97",7,190,"G",42,73225800,37800,0.0516211499225683
"98",7,195,"G",10,73225800,9000,0.0122907499815639
"99",8,1,"H",6429,73225800,5786100,7.90172316314742
"100",8,111,"H",816,73225800,734400,1.00292519849561
"101",8,121,"H",5116,73225800,4604400,6.28794769056808
"102",8,122,"H",1623,73225800,1460700,1.99478872200782
"103",8,123,"H",367,73225800,330300,0.451070524323394
"104",8,124,"H",118,73225800,106200,0.145030849782454
"105",8,131,"H",58,73225800,52200,0.0712863498930705
"106",8,141,"H",33770,73225800,30393000,41.5058626877412
"107",8,142,"H",3013,73225800,2711700,3.7032029694452
"108",8,143,"H",188,73225800,169200,0.231066099653401
"109",8,152,"H",440,73225800,396000,0.540792999188811
"110",8,176,"H",29414,73225800,26472600,36.152011995772
"111",8,190,"H",9,73225800,8100,0.0110616749834075
"112",8,195,"H",1,73225800,900,0.00122907499815639
"113",9,1,"I",6575,73232100,5917500,8.08047290737259
"114",9,111,"I",547,73232100,492300,0.67224618712286
"115",9,121,"I",6506,73232100,5855400,7.99567402819256
"116",9,122,"I",2857,73232100,2571300,3.5111651857587
"117",9,123,"I",834,73232100,750600,1.02496036574125
"118",9,124,"I",313,73232100,281700,0.384667379468839
"119",9,131,"I",64,73232100,57600,0.0786540328626381
"120",9,141,"I",31768,73232100,28591200,39.041895562192
"121",9,142,"I",2586,73232100,2327400,3.17811451535597
"122",9,143,"I",161,73232100,144900,0.197864051420074
"123",9,152,"I",540,73232100,486000,0.663643402278509
"124",9,176,"I",28608,73232100,25747200,35.1583526895992
"125",9,190,"I",9,73232100,8100,0.0110607233713085
"126",9,195,"I",1,73232100,900,0.00122896926347872
"127",10,1,"J",6098,73245600,5488200,7.49287329204758
"128",10,111,"J",693,73245600,623700,0.851518726039516
"129",10,121,"J",6359,73245600,5723100,7.81357514990662
"130",10,122,"J",3188,73245600,2869200,3.91723188833186
"131",10,123,"J",971,73245600,873900,1.19310921065566
"132",10,124,"J",347,73245600,312300,0.426373734394967
"133",10,131,"J",91,73245600,81900,0.111815590288017
"134",10,141,"J",30494,73245600,27444600,37.4692814312396
"135",10,142,"J",1311,73245600,1179900,1.6108817457977
"136",10,143,"J",126,73245600,113400,0.154821586552639
"137",10,152,"J",562,73245600,505800,0.690553425734788
"138",10,176,"J",31137,73245600,28023300,38.2593630197582
"139",10,190,"J",5,73245600,4500,0.00614371375208886
