"","ID","Class","names_ap","count","AreaTotal","AreaClass","prop"
"1",1,1,"A",4359,8138700,3923100,48.203029967931
"2",1,111,"A",27,8138700,24300,0.298573482251465
"3",1,121,"A",326,8138700,293400,3.60499834125843
"4",1,122,"A",27,8138700,24300,0.298573482251465
"5",1,123,"A",5,8138700,4500,0.0552913856021232
"6",1,131,"A",1,8138700,900,0.0110582771204246
"7",1,141,"A",3385,8138700,3046500,37.4322680526374
"8",1,142,"A",154,8138700,138600,1.70297467654539
"9",1,143,"A",53,8138700,47700,0.586088687382506
"10",1,152,"A",29,8138700,26100,0.320690036492314
"11",1,176,"A",677,8138700,609300,7.48645361052748
"12",2,1,"B",3422,8136900,3079800,37.8497953766176
"13",2,111,"B",59,8136900,53100,0.6525826789072
"14",2,121,"B",585,8136900,526500,6.47052317221546
"15",2,122,"B",238,8136900,214200,2.63245216237142
"16",2,123,"B",16,8136900,14400,0.176971573940936
"17",2,124,"B",2,8136900,1800,0.022121446742617
"18",2,131,"B",2,8136900,1800,0.022121446742617
"19",2,141,"B",2938,8136900,2644200,32.4964052649043
"20",2,142,"B",648,8136900,583200,7.1673487446079
"21",2,143,"B",23,8136900,20700,0.254396637540095
"22",2,152,"B",28,8136900,25200,0.309700254396638
"23",2,176,"B",1078,8136900,970200,11.9234597942705
"24",2,195,"B",2,8136900,1800,0.022121446742617
"25",3,1,"C",3035,8136000,2731500,33.5730088495575
"26",3,111,"C",15,8136000,13500,0.165929203539823
"27",3,121,"C",322,8136000,289800,3.56194690265487
"28",3,122,"C",9,8136000,8100,0.0995575221238938
"29",3,141,"C",4252,8136000,3826800,47.0353982300885
"30",3,142,"C",586,8136000,527400,6.48230088495575
"31",3,143,"C",95,8136000,85500,1.05088495575221
"32",3,152,"C",29,8136000,26100,0.320796460176991
"33",3,176,"C",696,8136000,626400,7.69911504424779
"34",3,195,"C",1,8136000,900,0.0110619469026549
"35",4,1,"D",3360,8131500,3024000,37.1887105700055
"36",4,111,"D",81,8131500,72900,0.896513558384062
"37",4,121,"D",705,8131500,634500,7.80298837852795
"38",4,122,"D",430,8131500,387000,4.75926950747095
"39",4,123,"D",139,8131500,125100,1.53846153846154
"40",4,124,"D",25,8131500,22500,0.276701715550636
"41",4,131,"D",5,8131500,4500,0.0553403431101273
"42",4,141,"D",3136,8131500,2822400,34.7094631986718
"43",4,142,"D",111,8131500,99900,1.22855561704483
"44",4,143,"D",10,8131500,9000,0.110680686220255
"45",4,152,"D",32,8131500,28800,0.354178195904815
"46",4,176,"D",1000,8131500,9e+05,11.0680686220255
